AudSD,AudSeq,AudBeat,labels
0.79,0.57,0.53,2
0.9,0.97,1.0,1
0.9,0.7,0.37,2
0.79,0.57,0.5,2
0.79,0.43,0.93,2
0.64,0.37,0.37,0
0.6,0.4,0.53,0
0.64,0.37,0.3,0
0.76,0.43,0.4,0
0.79,0.53,0.77,2
0.71,0.47,0.6,2
0.6,0.5,0.5,2
0.88,0.43,0.43,0
0.74,0.77,0.7,1
0.67,0.2,0.13,0
0.57,0.37,0.33,0
0.76,0.37,0.17,0
0.71,0.6,0.57,2
0.81,0.8,0.67,1
0.79,0.6,0.63,2
0.67,0.7,0.73,1
0.74,0.4,0.53,2
0.69,0.4,0.33,0
0.9,0.67,0.43,2
0.88,0.93,0.73,1
0.76,0.43,0.57,2
0.79,0.7,0.63,1
0.81,0.9,0.87,1
0.83,0.53,0.53,2
0.76,0.4,0.33,0
0.69,0.5,0.57,2
0.62,0.43,0.57,2
0.74,0.57,0.53,2
0.83,0.63,0.3,0
0.64,0.33,0.43,0
0.64,0.43,0.37,0
0.81,0.8,0.6,1
0.86,0.7,0.83,1
0.81,0.73,0.63,1
0.86,0.43,0.3,0
0.9,0.6,0.63,2
0.69,0.27,0.5,0
0.74,0.73,0.9,1
0.81,0.87,0.87,1
0.74,0.43,0.6,2
0.81,0.43,0.4,0
0.76,0.63,0.77,1
0.83,0.33,0.37,0
0.71,0.83,0.7,1
0.69,0.53,0.47,2
0.4,0.53,0.83,2
0.69,0.4,0.33,0
0.62,0.4,0.47,0
0.5,0.2,0.4,0
0.69,0.53,0.53,2
0.79,0.7,0.47,2
0.6,0.3,0.5,0
0.69,0.27,0.33,0
0.74,0.3,0.27,0
0.76,0.83,0.8,1
0.83,0.9,0.97,1
0.86,0.8,0.9,1
0.5,0.33,0.43,0
0.74,0.43,0.4,0
0.81,0.6,0.8,1
0.74,0.87,0.87,1
0.76,0.37,0.67,2
0.71,0.37,0.63,2
0.79,0.6,0.6,2
0.83,0.57,0.73,2
0.86,0.67,0.6,2
0.86,0.3,0.47,0
0.83,0.37,0.4,0
0.71,0.5,0.37,0
0.76,0.4,0.47,0
0.79,0.43,0.6,2
0.86,0.9,0.9,1
0.79,0.43,0.5,2
0.83,0.7,0.63,1
0.76,0.6,0.67,2
0.79,0.83,0.67,1
0.86,0.67,0.67,1
0.83,0.43,0.57,2
0.71,0.47,0.77,2
0.83,0.53,0.5,2
0.74,0.73,0.67,1
0.9,0.53,0.67,2
0.79,0.57,0.37,0
0.62,0.67,0.6,2
0.76,0.6,0.87,1
0.71,0.4,0.63,2
0.69,0.53,0.57,2
0.81,0.53,0.5,2
0.57,0.6,0.37,0
0.76,0.6,0.67,2
0.81,0.43,0.43,0
0.81,0.7,0.73,1
0.71,0.53,0.87,1
0.48,0.3,0.43,0
0.71,0.47,0.2,0
0.74,0.67,0.83,1
